State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Haryana,Gurgaon,Gurgaon,Orange,Other,Large,29/11/2024,2000,4000,3000
Haryana,Gurgaon,Gurgaon,Pomegranate,Other,Large,29/11/2024,10000,15000,12500
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Banana,"Banana - Ripe",Medium,29/11/2024,5000,5200,5100
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Colacasia,Colacasia,FAQ,29/11/2024,5000,5200,5100
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Onion,"1st Sort",FAQ,29/11/2024,4700,5200,4900
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Orange,Medium,Medium,29/11/2024,6500,6600,6550
"Himachal Pradesh",Kangra,Kangra(Jaisinghpur),Pomegranate,Other,Medium,29/11/2024,13500,14000,13700
"Himachal Pradesh",Kangra,Palampur,Banana,"Banana - Ripe",Medium,29/11/2024,4800,5000,4900
"Himachal Pradesh",Kangra,Palampur,Beetroot,Beetroot,FAQ,29/11/2024,4800,5000,4900
"Himachal Pradesh",Kangra,Palampur,Onion,Other,FAQ,29/11/2024,4600,5000,4800
"Himachal Pradesh",Kangra,Palampur,Papaya,Other,Medium,29/11/2024,4600,4700,4650
"Himachal Pradesh",Kangra,Palampur,Turnip,Other,FAQ,29/11/2024,3200,3300,3250
Kerala,Alappuzha,Harippad,Banana,"Nendra Bale",Medium,29/11/2024,5000,5500,5000
Kerala,Alappuzha,Harippad,"Bhindi(Ladies Finger)",Other,FAQ,29/11/2024,4000,4500,4000
Kerala,Alappuzha,Harippad,Capsicum,Other,FAQ,29/11/2024,8000,8600,8000
Kerala,Pathanamthitta,"Pramadom VFPCK",Ginger(Green),Other,FAQ,29/11/2024,10500,15000,12700
Kerala,Thirssur,Irinjalakkuda,Beetroot,Other,FAQ,29/11/2024,4500,4500,4500
Kerala,Thirssur,Irinjalakkuda,"Bottle gourd",Other,FAQ,29/11/2024,3500,3500,3500
Kerala,Thirssur,Irinjalakkuda,Cauliflower,Other,FAQ,29/11/2024,4500,4500,4500
Kerala,Thirssur,Irinjalakkuda,Cucumbar(Kheera),Other,FAQ,29/11/2024,3000,3000,3000
"Madhya Pradesh",Chhindwara,Chhindwara,Maize,Local,FAQ,29/11/2024,2250,2250,2250
"Madhya Pradesh",Khandwa,Harsood,Soyabean,Yellow,FAQ,29/11/2024,1701,4108,4059
"Madhya Pradesh",Raisen,Bareli,Paddy(Dhan)(Common),Basumathi,FAQ,29/11/2024,3001,3001,3001
"Madhya Pradesh",Ratlam,Jaora,Garlic,Garlic,FAQ,29/11/2024,19800,22000,21000
Punjab,kapurthala,Sultanpur,Brinjal,Other,FAQ,29/11/2024,1800,2000,2000
Punjab,kapurthala,Sultanpur,Raddish,Other,FAQ,29/11/2024,450,500,500
Punjab,Ludhiana,Sahnewal,Onion,Onion,FAQ,29/11/2024,4500,4500,4500
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )",Banana,Besrai,Local,29/11/2024,4200,5000,5000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )","Bhindi(Ladies Finger)",Bhindi,Local,29/11/2024,3300,4000,4000
"Tamil Nadu",Thiruvannamalai,"Chengam(Uzhavar Sandhai )","Custard Apple (Sharifa)","Custard Apple(Sharifa)",Local,29/11/2024,3300,4000,4000
